Summary,Series
"A much older and more powerful Kes returns to Voyager, and attempts to travel back in time to change her history.",VOY
"The Doctor's creator, Lewis Zimmerman, is dying in the Alpha Quadrant from a disease similar to the Vidiian phage. The Doctor's compressed matrix is transferred to Zimmerman's lab on the Jupiter station, to assist Mr. Barclay and Counselor Troi in attempting to treat the illness.",VOY
"As Voyager travels through a nebula, all ship's power is turned off, giving Neelix an opportunity to tell the Borg children a ghost story.",VOY
"Janeway, B'Elanna and Tuvok infiltrate a Borg Cube in an attempt to save Borg drones who are trying to develop individuality.",VOY
"Janeway, B'Elanna and Tuvok are assimilated by the Borg while attempting to save the group of drones who have developed individuality.",VOY
"When her cortical implant malfunctions, Seven of Nine needs a life-saving transplant.",VOY
"The crew of Voyager enters the Delta Flyer in a sub-warp race, crewed by Tom Paris and B'Elanna Torres, and events conspire to encourage Tom to propose to her.",VOY
Ex-Maquis crew members are attacked after a data stream arrives from Starfleet.,VOY
"The Doctor's program is stolen and he is forced to work in an alien hospital, where he skillfully manipulates the system to provide ethical medical care.",VOY
"A hologram of Reginald Barclay is sent to Voyager, supposedly to implement a dangerous plan to bring them home; but the hologram has been tampered with by some Ferengi, who are trying to steal valuable Borg nanoprobes from Seven of Nine.",VOY
"During an emergency on a mission, The Doctor is forced to upload his program into Seven of Nine's Borg implants, allowing him to experience real sensations for the first time.",VOY
Harry Kim takes command of an alien ship that has lost its officers in an attack.,VOY
"Voyager's hologram technology, which Janeway had previously donated to the Hirogen, has been modified to make the holographic ""prey"" more cunning, enabling the hologram characters to rebel against their new masters.",VOY
"Voyager is fractured into several time periods by an accident, and only Chakotay is able to move between them, in the process meeting old friends and old foes from the previous six seasons.",VOY
"Now married to Tom Paris, B'Elanna Torres discovers she is pregnant. The Doctor tells her to expect a daughter; but B'Elanna's unresolved fear of the childhood traumas, which she suffered as a part-Klingon girl growing up among humans, makes her determined to remove her child's Klingon DNA.",VOY
"Prisoners are brought onto Voyager from a damaged alien vessel, and the crew must deliver them to their destination – for execution. Seven's nanoprobes are used to help heal a prisoner.",VOY
"Voyager encounters an ancient Klingon battlecruiser. The Klingons aboard it had set out long ago to find their savior, and they believe it to be Tom and B'Elanna's unborn child.",VOY
"Voyager is pulled into a void, where the ships that have become trapped attack each other for food and resources.",VOY
"The Voyager crew is brainwashed into taking new jobs on an industrialized planet that has a severe labor shortage, leaving only Chakotay, Kim and Neelix (who were on an away mission) and the Doctor (who, in the absence of the crew, has become the Emergency Command Hologram) to save them.",VOY
"Chakotay and Neelix take jobs on the new planet, and try to rescue their amnesiac crewmates – who don't want to leave.",VOY
Q leaves his son (Q2) on Voyager to learn from the crew.,VOY
"The Doctor writes a holo-novel to be published in the Alpha Quadrant, featuring characters who closely resemble – but do not flatter – the crew.",VOY
The crew is sent on its first mission by Starfleet in nearly seven years: to find a lost probe sent by Earth in the 21st century that has ended up in the Delta Quadrant.,VOY
"While visiting the planet Ledos, Seven and Chakotay crash through an energy barrier. The two are stranded in the jungle with primitive humanoids, who take the pair in and care for Chakotay's injuries. To rejoin Voyager, he and Seven have to disable the energy barrier.",VOY
Voyager encounters a Talaxian settlement leaving Neelix with the difficult decision of whether to leave the crew.,VOY
The Doctor is forced to help aliens steal Voyager's warp core.,VOY
"In the future where it took Voyager 23 years to get home, Admiral Janeway devises a plan to alter history. As the crew enters a final showdown with the Borg, the two Janeways implement a risky plan to take out one of the six Borg Transwarp Hubs in the galaxy and simultaneously cross the transwarp threshold to get home. Originally shown as a two-hour series finale, but in syndication is shown as 2 separate episodes.",VOY
"The Enterprise visits planet M-113 for routine medical examinations of the husband-and-wife archaeological team stationed there, but the woman has been replaced by a shape-shifting creature, forced to survive by extracting the salt from the bodies of the members of the crew, killing them.[2]",TOS
"The Enterprise picks up Charlie Evans, an unstable 17-year-old boy, who spent 14 years alone on a deserted planet and lacks the training and restraint to handle his superhuman mental powers wisely.[2] This episode serves as the backstory for the unofficial miniseries Star Trek: Of Gods and Men.",TOS
"After the Enterprise attempts to cross the Great Barrier at the edge of the galaxy, crew members Gary Mitchell and Elizabeth Dehner develop ""godlike"" psychic powers, which threaten the safety of the crew.[2]",TOS
"A strange, intoxicating infection, which lowers the crew's emotional inhibitions, spreads throughout the Enterprise. As the madness spreads, the entire ship is endangered.[2]",TOS
"While beaming up from planet Alpha 177, a transporter accident splits Captain Kirk into two beings: one ""good"", who is weak and indecisive, and one ""evil"", who is overly aggressive and domineering.[2]",TOS
"The Enterprise pursues a vessel and rescues its occupants; Harry Mudd, an interstellar con man, is transporting three mysteriously beautiful women to become the wives of dilithium miners.[2]",TOS
"In search of Nurse Chapel's fiancé, renowned exobiologist Roger Korby, the Enterprise visits the icy planet Exo III, where Korby has discovered an ancient machine that allows him to duplicate any living person with an android replacement. Korby plans to use the machine to spread controlled androids throughout the Federation, and replaces Captain Kirk with such a duplicate in an effort to take over the Enterprise.[2]",TOS
"After discovering what appears to be a duplicate of the planet Earth, Captain Kirk and his away team find a population ravaged by a strange disease, which only children appear to have survived.[2]",TOS
"While the Enterprise is on a resupply mission to a rehabilitation colony for the criminally insane, a former doctor — now insane — sneaks on board the ship. Beaming down to the planet, Kirk and a female crew member discover that the chief doctor has been using a device that destroys the human mind. Spock performs a mind meld for the first time in this episode.[2]",TOS
"The Enterprise is menaced by a gigantic alien ship whose commander condemns the crew to death. The alien ship appears all-powerful, and the alien commander refuses all attempts at negotiation, forcing Kirk to employ an unorthodox strategy to save the ship.[2]",TOS
"Part I: Spock hijacks the Enterprise to take his crippled former captain, Christopher Pike, to the forbidden world of Talos IV. He then demands a court martial, where he uses the events of ""The Cage"" to tell the tale of Pike's captivity on the planet years earlier.[2]Part II: After witnessing the Talosians' capabilities of mental illusion, Kirk realizes that Spock intends to return Pike to the planet to live a life of illusion, unencumbered by his crippled condition.[2]",TOS
"While visiting an old friend, Kirk suspects a Shakespearean actor may actually be the murderous former governor of Tarsus IV, where Kirk grew up. Kirk invites the acting troupe aboard the Enterprise to investigate, but soon, assassination attempts are made on Kirk and another crewman, who was an eyewitness to the murders.[2]",TOS
"While investigating a series of destroyed outposts, the Enterprise discovers a lone Romulan vessel with a cloaking device. The Romulans, having never been seen by humans, are revealed to visually resemble Vulcans, casting doubt on Mr. Spock's loyalty, as the two ships become locked in a cat-and-mouse battle through space.[2]",TOS
"Captain Kirk orders shore leave for the Enterprise crew on a seemingly uninhabited planet in the Omicron Delta system. The landing parties begin to see strange sights, such as a White Rabbit a la ""Alice in Wonderland"", Don Juan, and a sword-wielding samurai. Also, Kirk sees (and fights) an image of Finnegan, a rival from his Starfleet Academy days. Spock discovers that the planet seems to be drawing a large amount of energy from the ship's engines, placing the Enterprise in danger.[2]",TOS
"Spock and a scientific party are sent to study the Murasaki 312 quasar aboard the shuttle Galileo. During the survey, the Galileo is forced to make an emergency landing on the planet Taurus II, where the crew fights the planet's dangerous inhabitants. As the crew begins to make repairs, Scotty determines that the shuttle does not have enough fuel to reach orbit carrying all seven passengers, and Spock must contemplate leaving some of his fellow crew behind.[2]",TOS
"The Enterprise discovers a rogue planet drifting through space, inhabited by an eccentric being named Trelane, who uses his apparently unlimited power over matter and form to manipulate the crew.[2]",TOS
"The Enterprise comes under attack by unknown aliens while investigating the near-destruction of the Cestus III colony. While chasing the aliens into unexplored space, both ships are captured by the powerful Metrons, who force Kirk and the alien captain (later identified as a member of the Gorn race) to trial by combat; the winner's vessel will be set free, while the loser's ship will be destroyed.[2]",TOS
"After accidentally traveling back in time to 1969, the Enterprise rescues USAF Captain John Christopher from his crippled fighter jet. The crew struggles to return to their own time, while simultaneously returning Christopher to the Air Force, removing his knowledge of the future and all record of contact with the Enterprise.[2]",TOS
"Captain Kirk is placed on trial for negligence after a crewman is killed during a severe ion storm. Kirk maintains that his actions were proper and should not have led to the officer's death, but the evidence seems strong against him.[2]",TOS
"The Enterprise discovers a planetary population controlled by a powerful being called Landru. While investigating, Captain Kirk and his landing party are taken captive, and discover that the Enterprise crew will be the next to be ""absorbed"" into Landru's control.[2]",TOS
"The Enterprise discovers an ancient sleeper ship, the SS Botany Bay, which escaped from Earth's Eugenics Wars in the late 20th century. The genetically engineered passengers, led by war criminal Khan Noonien Singh, seize control of the Enterprise and attempt to destroy the ship. (This episode serves as the backstory to the second Star Trek film.)[2]",TOS
"On Eminiar VII, the Enterprise finds a civilization at war with its planetary neighbor. Unable to discern any signs of battle from orbit, Captain Kirk leads a landing party to the surface, where he discovers the entire war is fought by computer. Though the war is simulated, citizens who are listed as virtual casualties still report to termination booths to be killed for real. After the Enterprise is destroyed in an attack simulation, Kirk must fight to keep his crew from death.[2]",TOS
"Despite exposure to fatal radiation, the Federation colony on Omicron Ceti III appears to be thriving. A landing party from the Enterprise investigates, finding the colony's population to be healthy beyond explanation. Leila Kalomi, an old friend of Mr. Spock's, shows the landing party strange flowers that seem to impose a state of pure bliss and perfect health on all exposed to its spores (even Spock), but at the cost of ambition and self-discipline. [2]",TOS
"Dispatched to the mining colony on Janus VI, the Enterprise is to investigate rumors of a strange, subterranean creature responsible for destruction of equipment and the deaths of 50 miners. Kirk and Spock discover a silicon-based life form, a Horta, which lives in the surrounding rock. After Kirk and Spock find the strange creature, Spock performs a mind meld, discovering the reason behind the Horta's attacks.[2]",TOS
"Peace negotiations have collapsed between the Federation and the warlike Klingon Empire. The Enterprise is ordered to protect Organia, a peaceful planet located near the Klingon border. Kirk and Spock beam to the surface to warn the Organians about the Klingons, but a Klingon fleet soon arrives, forcing the Enterprise to abandon the duo on the planet. The natives protect Kirk and Spock, even as Kor, the new Klingon governor, orders mass executions of the Organian people. As both Federation and Klingon fleets converge above the planet, Kirk and Spock execute a daring raid on the Klingon headquarters in an effort to destabilize their control over the planet.[2]",TOS
"While orbiting an apparently dead planet, the Enterprise seems to experience a strange moment of ""nonexistence"". Captain Kirk discovers a man named Lazarus on the planet below, who claims the effect was caused by his ""enemy"", later revealed to be an insane version of Lazarus from an alternate dimension. The sane version of Lazarus asks for Kirk's help in defeating his counterpart.[2]",TOS
"After accidentally overdosing on a powerful stimulant, Dr. McCoy becomes unbalanced and disappears through the Guardian of Forever, a newly discovered time portal on a remote planet. Kirk and Spock follow after learning that McCoy somehow changed history, removing everything they once knew, including the Enterprise. Arriving in the 1930s, the duo meets Edith Keeler, a New York social worker, who gives them a place to stay. As the days pass, and McCoy is nowhere to be seen, Kirk finds himself falling in love with Keeler, but Spock discovers that Keeler must die to restore the timeline.[2] In 1997, TV Guide ranked this ""Hugo Award""-winning episode number 92 on its list of the 100 Greatest Episodes.[3] In 2009, it moved to #80.[4]",TOS
"The Enterprise arrives at Deneva - the home of Captain Kirk's brother, Sam, and his family - and discovers that the entire planet has been infested with large, amoeba-like aliens that have attacked and killed much of the human population. One of these aliens attaches itself to Spock, who volunteers to become a subject in Dr. McCoy's medical tests. McCoy and Kirk find a cure in time to save Spock and the remainder of the Denevan population.[2]",TOS
"When Mr. Spock begins behaving aggressively, Kirk discovers his first officer must return home to Vulcan to be married or die. Kirk disobeys his orders from Starfleet Command to visit Altair 6 and decides to save Spock. Spock, Kirk, and McCoy land on Vulcan where Spock takes them to his family land to begin pon farr. They meet T'Pau and T'Pring only to find that T'Pring wants a duel and chooses Kirk as a challenger. Kirk accepts the challenge thinking to let Spock win but is later told by T'Pau that it is a challenge to the death. During the fight, McCoy gives Kirk a neuro-tranquilizer to fake his death. Upon victory, Spock asks T'Pring to explain her decision and decides not to marry her. After beaming back to the Enterprise, Spock is overjoyed to see Kirk alive.[2]",TOS
"The Enterprise is held captive within an energy field which is controlled by an alien who claims to be the Greek god Apollo. Apollo commands Kirk to meet him on the planet's surface. Bones, Chekov, Scotty, and Lieutenant Carolyn Palamas accompany Kirk. Apollo demands the crew worship him as a god at his temple, captivating Carolyn and attacking Scotty when he disobeys. Spock finds a way to get through the energy field and helps Kirk to take down the temple that was its power source.[2]",TOS
"The crew of the Enterprise deals with Nomad — an indestructible, planet-destroying space probe that thinks Kirk is its creator. The space probe is beamed up and after completing an analysis, Mr. Spock reveals that its real creator is Jackson Roykirk, a scientist from the twentieth century. Spock enters the mind of Nomad and finds out the original space probe was destroyed when another alien probe somehow united with it, deleting its memory banks and resulting in a new machine with a new objective: sterilize all units which are imperfect. When Nomad takes control of the Enterprise, Kirk tells Nomad the truth making it realize that Nomad itself is flawed and must destroy itself. Star Trek: The Motion Picture was in part an expansion of this episode.[2]",TOS
"A transporter mishap slips Captain Kirk and his companions into a parallel universe, where the Enterprise serves a barbaric Empire instead of the Federation. Kirk, Bones, Scotty, and Uhura try to act appropriately for their new environment while figuring out how to get back to their universe where their Empire equivalents beamed. In this mirror universe, Mr. Sulu tried to kill Captain Kirk to succeed as Captain but failed and was sent to the torture booth. The Empire Spock receives a command from Starfleet base to execute Captain Kirk if he does not annihilate the planet Halkan by dawn, which he tells Kirk. Bones and Scotty reprogram the transporter to beam them back but are encountered by Spock in Sick Bay. Spock attacks them but is defeated and about to die. Kirk allows Bones to treat him while the others go to the transporter room. Mirror Spock learns the truth about the twin universes and brings Bones to the transporter room where he helps them transport back to our universe where Spock is waiting for them. This episode spun off several plotlines in Deep Space Nine, Enterprise and Discovery.[2]",TOS
"The crew of the Enterprise visits a mysterious and deadly paradise planet which they discover is controlled by a machine called Vaal. The landing party, which includes Kirk, Spock, Bones and Sulu, are enchanted by the planet but encounter a strange flower that kills two members of the party. A mysterious bolt of lightning hurts Spock and disrupts the transporter room of the Enterprise. The surviving landing party finds a group of men and women who are controlled by Vaal. Vaal restricts their knowledge of human interactions such as sexual intercourse and has the island's inhabitants feed it an explosive mineral found on the island in order to fuel itself. Vaal orders the inhabitants to kill the landing party by morning when it becomes clear that they represent a threat to the inhabitants' current way of life. Scotty finds a way to route all the power to the ship's phasers while Kirk and Bones prevent Vaal from being fed any more explosive mineral. Vaal loses strength as a result and becomes vulnerable which allows the Enterprise to destroy Vaal and free the inhabitants.[2]",TOS
"After losing his entire crew to a planet-eating alien machine from another galaxy, Commodore Matt Decker pulls rank on Kirk in order to play a game of cat-and-mouse with the mechanical adversary. His efforts to destroy the menace place the Enterprise in grave danger. This episode serves as the backstory for the Star Trek 25th Anniversary Game Boy game.[2]",TOS
"Two powerful aliens threaten the well-being of the Enterprise and her crew with their magical powers. Scotty, Sulu, and Jackson from the landing party go missing on a planet known to be uninhabited. Upon returning Jackson dies, giving Kirk a warning to leave the system. Kirk, Spock and Bones beam down to find a mysterious castle. A man and a woman, Korob and Sylvia, meet them and they find that Korob and Sylvia are not from this system but have moved here with the intention of learning more about the humans. Korob has good intentions, but Sylvia is determined to learn about humans and captures Sulu, Scotty, and Bones completely by mind control. Kirk uses seductive tricks on Sylvia to get the truth and destroys their 'transmuter' power source to free the entire landing party and end the illusions.[2]",TOS
"Captain Kirk and the crew have a second run-in with the con man, Harry Mudd, this time finding him as the king of a planet of androids. The Enterprise is captured by an android which takes the entire crew to an uncharted planet in the galaxy. Kirk, Spock, Bones, Uhura, Scotty, and Chekov land with the android on the planet to find Harry Mudd as the King of the planet and about 200,000 androids to serve him. He reveals that the androids want to learn about and serve humans and demanded more specimens. Harry Mudd plans to leave the entire crew of the Enterprise behind and take the starship. By unraveling the weak points of the androids, the crew of the Enterprise damage the main control unit 'Norman', reprogram the androids to serve their original purpose of settling the planet, gain control of the Enterprise and leave Harry Mudd behind to live with the humorous androids.[2]",TOS
"A shuttle crew from the Enterprise encounters a castaway who appears to be Zefram Cochrane, the inventor of warp drive, and his mysterious alien Companion. Kirk, Bones, Spock and a disease-stricken officer are brought down on a planet surface en route to the Enterprise where they meet Zefram Cochrane, who is recorded to be dead for 150 years. Cochrane explains that the Companion, a mysterious energy field, keeps him alive and well, but recently decided that he needed a companion. After investigating and challenging the alien Companion, Kirk realizes that the Companion has feelings for Cochrane and finds a way to get back to the Enterprise in a surprisingly romantic episode.[2]",TOS
"While transporting dignitaries to an important peace conference on the planet Babel, the Enterprise is pursued by a mysterious vessel and, after a quarrel between the Vulcan ambassador, Sarek (Spock's father), and the Tellarite ambassador, the latter is killed, with Sarek as the main suspect. Kirk is then attacked and badly injured by the assassin, exonerating Sarek but requiring that Spock take charge of the Enterprise. An ethical dilemma arises when Sarek falls ill and needs Spock's blood for a risky life-saving operation. To his mother's distress Spock puts his duty ahead of his father's life. Kirk and Bones find a way to allow Spock to assist in the operation, while a still-injured Kirk tries to uncover the assassin's plan and engages the attacking starship.[2]",TOS
"The crew of the Enterprise become entangled in a planet's tribal power struggle. Upon landing and seeing a Klingon, one crew member is killed by the tribe. In a problematic turn of events, the leader of the 10 tribes is killed and Maab, who supports the Klingons, is the one who takes charge. The woman Eleen along with the landing party of Kirk, Spock, and Bones manage to escape but cannot contact the Enterprise which has been tricked into leaving the planet's orbit to follow a distress signal. Eleen and the others manage to hide out. Maab realizes the Klingons' true intention and the Enterprise manages to return in time to help the landing party and get the deal with the tribespeople.[2]",TOS
"Strange radiation exposes the command crew of the Enterprise to the effects of rapid aging. A landing party of Chekov, Kirk, Spock, Bones, Scotty, and Lieutenant Galway divide into small teams to find the planet Gamma Hydra Four's colonists. Chekov enters a building and is shocked to see a dead man and calls others. The landing party meets two other people who are old in appearance but young in age. Bones concludes the analysis and says the two other people have only a few days to live because their bodily functions are aging about 30 years a day. The same thing begins to happen to the landing party upon getting back to the Enterprise. Scotty, Bones, Spock, Kirk and Galway start to get old, but Chekov does not. The aging inhibits the decision-making abilities of Captain Kirk and Spock. A Commodore Stocker who is a passenger aboard the Enterprise takes command of the ship. He makes a bad decision taking the Enterprise into the Neutral Zone and into a deadly attack by the Romulans. From an idea Bones has about why Chekov was immune, Spock and Dr. Janet Wallace (who is also a passenger aboard) devise a vaccine containing adrenaline that Kirk readily tests. It works and Kirk immediately resumes command of the Enterprise and tricks the Romulans, saving the Enterprise.[2]",TOS
"Captain Kirk becomes obsessed with destroying a murderous entity that killed many of the crew of his old ship. After finding a mysterious cloud that quickly kills three crew members, Captain Kirk is determined to find a way to understand it and destroy it, stopping it from spreading to more planetary systems. Kirk recalls his past experience with this cloud a few years earlier in a different planetary system on the other side of the galaxy. His obsession with this cloud starts to interfere with his decision-making skills as the commander of the starship prompting a medical record from Bones and Spock. Soon, Spock and Bones realize why Kirk is obsessed with this cloud. The Enterprise begins attacking the cloud only to realize that the cloud is not running away and manages to enter the air circulation system of the Enterprise. Kirk, Spock and Bones finally devise a way to destroy the cloud.[2]",TOS
